epoch,loss,train,val,test,variant,noise_mode,noise_p_delete,noise_p_add,noise_max_additions
133,0.3058086633682251,1.0,0.794,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
134,0.3026343584060669,1.0,0.798,0.814,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
135,0.3082033693790436,1.0,0.796,0.817,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
136,0.2944702208042145,1.0,0.79,0.819,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
137,0.29888662695884705,1.0,0.796,0.82,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
138,0.30695775151252747,1.0,0.796,0.822,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
139,0.30473437905311584,1.0,0.798,0.823,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
140,0.2703934609889984,1.0,0.8,0.821,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
141,0.30547818541526794,1.0,0.798,0.819,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
142,0.30257660150527954,1.0,0.8,0.818,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
143,0.30553460121154785,0.9928571428571429,0.798,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
144,0.30648529529571533,0.9928571428571429,0.796,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
145,0.2845611870288849,1.0,0.796,0.814,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
146,0.28479593992233276,1.0,0.788,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
147,0.2800789773464203,1.0,0.788,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
148,0.2897493243217468,1.0,0.79,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
149,0.29119470715522766,1.0,0.79,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
150,0.30349910259246826,1.0,0.794,0.817,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
151,0.27685245871543884,1.0,0.798,0.821,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
152,0.288271963596344,1.0,0.804,0.818,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
153,0.30014029145240784,1.0,0.8,0.82,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
154,0.2909630537033081,1.0,0.794,0.819,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
155,0.28870490193367004,1.0,0.792,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.02,1e-05,96
