epoch,loss,train,val,test,variant,noise_mode,noise_p_delete,noise_p_add,noise_max_additions
157,0.2841340899467468,1.0,0.79,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
158,0.320422500371933,1.0,0.79,0.813,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
159,0.27955108880996704,1.0,0.79,0.812,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
160,0.3409420847892761,1.0,0.788,0.812,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
161,0.29195553064346313,1.0,0.79,0.805,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
162,0.29408547282218933,1.0,0.792,0.804,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
163,0.31833401322364807,1.0,0.794,0.803,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
164,0.31994467973709106,1.0,0.792,0.802,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
165,0.2914047837257385,1.0,0.792,0.798,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
166,0.28728264570236206,1.0,0.79,0.8,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
167,0.29778242111206055,1.0,0.794,0.803,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
168,0.27868932485580444,1.0,0.792,0.806,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
169,0.2906430661678314,1.0,0.798,0.813,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
170,0.28850239515304565,1.0,0.798,0.817,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
171,0.28199875354766846,1.0,0.794,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
172,0.30418622493743896,1.0,0.79,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
173,0.28898847103118896,1.0,0.79,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
174,0.2895112633705139,1.0,0.79,0.816,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
175,0.3041723370552063,1.0,0.788,0.815,matched-sparse-noisy-training,sparse-edge-flip,0.05,2e-05,160
