seed,summary_type,model_variant,attack_variant,threshold,config_label,mode,p_delete,p_add,max_additions,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,positive_certified_fraction,max_reported_radius,mean_pA_lower
21,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.7272727272727273,0.7272727272727273,0.2727272727272727,1,0.9832992705768221
21,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.7272727272727273,0.7272727272727273,0.2727272727272727,1,0.9732762304481984
21,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.7272727272727273,0.7272727272727273,0.2727272727272727,1,0.9459700097371033
21,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.7272727272727273,0.18181818181818182,0.18181818181818182,4,0.9141750501141868
21,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.7272727272727273,0.18181818181818182,0.18181818181818182,2,0.9142065297328673
21,fixed-config,matched-sparse-noisy-training,matched-sparse-noisy-training,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.7272727272727273,0.18181818181818182,0.18181818181818182,5,0.9687677242419614
21,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.5454545454545454,0.5454545454545454,0.2727272727272727,1,0.9834640954323652
21,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.5454545454545454,0.5454545454545454,0.2727272727272727,1,0.9770897421116065
21,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.5454545454545454,0.5454545454545454,0.2727272727272727,1,0.9538104754957782
21,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,4,0.9956949839602097
21,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,4,0.9949766756821146
21,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,5,0.9962067613450979
21,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.5454545454545454,0.5454545454545454,0.2727272727272727,1,0.9845526277159888
21,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.5454545454545454,0.5454545454545454,0.2727272727272727,1,0.9750349942684035
21,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.5454545454545454,0.5454545454545454,0.2727272727272727,1,0.9542138380724728
21,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,4,0.9955137286508723
21,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,4,0.9950109407168001
21,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.5454545454545454,0.09090909090909091,0.09090909090909091,5,0.9962067613450979
21,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,sparse-asym-0.01,sparse-edge-flip,0.01,5e-06,64,11,0.7272727272727273,0.7272727272727273,0.36363636363636365,1,0.9849438885946639
21,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,sparse-asym-0.02,sparse-edge-flip,0.02,1e-05,96,11,0.7272727272727273,0.7272727272727273,0.36363636363636365,1,0.9742026705967763
21,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,sparse-asym-0.05,sparse-edge-flip,0.05,2e-05,160,11,0.7272727272727273,0.7272727272727273,0.36363636363636365,1,0.9559906855708724
21,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.7272727272727273,0.09090909090909091,0.09090909090909091,4,0.9955011399501636
21,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.7272727272727273,0.09090909090909091,0.09090909090909091,4,0.9954207766109557
21,fixed-config,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.7272727272727273,0.09090909090909091,0.09090909090909091,5,0.9962067613450979
